match_id,team1,team2,score_team1,score_team2,winner,player_of_match
101,Mumbai ***,Chennai Super ***,178,182,Chennai Super Kings,REDACTED
102,Royal Challengers ***,Delhi ***,200,190,Royal Challengers Bangalore,REDACTED
103,Kolkata Knight ***,Sunrisers ***,150,145,Kolkata Knight Riders,REDACTED
104,Delhi ***,Rajasthan ***,170,160,Delhi Capitals,REDACTED
105,Mumbai ***,Pune ***,190,180,Mumbai Indians,REDACTED
106,Kings XI ***,Royal Challengers ***,160,170,Royal Challengers Bangalore,REDACTED
107,Kolkata Knight ***,Delhi ***,160,158,Kolkata Knight Riders,REDACTED
108,Chennai Super ***,Rajasthan ***,180,170,Chennai Super Kings,REDACTED
109,Royal Challengers ***,Kings XI ***,190,185,Royal Challengers Bangalore,REDACTED
110,Sunrisers ***,Mumbai ***,140,145,Mumbai Indians,REDACTED
